,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.610136955,0.014739466,-0.03999723,0.026256448,0.611637497,0.01461688,-0.040126626,0.000166558
1,ibi,0.607187896,0.014982241,-0.039740968,-0.002642834,0.606001684,0.015080589,-0.039637157,-1.68E-06
2,lf,0.003742995,0.380916603,0.346523081,-0.003613353,0.014398123,0.289504601,0.250032634,-2.22E-06
3,hf,0.424115861,0.035831804,-0.017733096,-0.001370226,0.524706814,0.022846118,-0.031440209,-9.77E-07
4,lf/hf,0.157149103,0.108001479,0.058446006,-0.4557593,0.061644846,0.180777618,0.135265263,-0.113248796
5,lf_diff,0.246999281,0.073681881,0.022219764,0.001239674,0.285162764,0.063156185,0.011109307,-1.75E-06
6,hf_diff,0.118811586,0.129703571,0.081353769,0.00205089,0.374723723,0.04400443,-0.009106435,1.26E-06
7,lfhf_diff,0.592298744,0.016246054,-0.038406943,-0.107368795,0.911363292,0.000707571,-0.054808675,0.008237551
8,FC3,0.614013674,0.014424053,-0.040330166,-1.533851739,0.797032443,0.003771096,-0.051574954,-0.790127351
9,FC4,0.85861495,0.001810926,-0.053644023,0.580230993,0.791534323,0.003982636,-0.051351662,0.792776529
10,FCz,0.979460312,3.79E-05,-0.055515592,0.096033735,0.920540747,0.000568211,-0.054955778,0.323257652
11,mean_3ch,0.903411041,0.000840826,-0.054668017,-0.428371261,0.99562516,1.72E-06,-0.055553743,-0.017573811
12,concentration_FC3,0.104601928,0.139632604,0.091834416,5.25720033,0.343682847,0.04992065,-0.002861536,7.267884842
13,concentration_FC4,0.924829361,0.000508368,-0.055018945,-0.275193735,0.747295664,0.005912384,-0.049314706,-2.640719008
14,concentration_FCz,0.321301718,0.054628804,0.002108182,3.046536779,0.162812537,0.10527088,0.055563707,13.81787466
15,concentration_mean,0.346463562,0.049362873,-0.003450301,3.472639863,0.573220021,0.017961395,-0.036596305,6.356772586